D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.004,0.991,100,271.8,21.08,0.81,568
0.0048,0.716,100,665.9,23.94,0.59,1829
0.00384,0.799,7840,3862,260.22,0.268,2620
0.00384,0.799,7840,3934,211.74,0.165,3061
0.00384,0.799,7840,3934,240.12,0.214,2791
0.00384,0.799,7840,4054,229.87,0.172,2840
0.00384,0.799,7840,4990,236.08,0.156,3130
0.00384,0.799,7840,4990,264.05,0.227,2930
0.00384,0.799,7840,5013,182.29,0.089,4000
0.00384,0.799,7840,5013,194.54,0.105,3830
0.00384,0.799,7840,5013,223.8,0.129,3261
0.00384,0.799,7840,5013,255.13,0.198,2970
0.00384,0.799,7840,7460,180.24,0.034,5320
0.00384,0.799,7840,7460,190.48,0.041,5011
0.00384,0.799,7840,7460,199.49,0.043,4711
0.00384,0.799,7840,7460,208.64,0.05,4420
0.00384,0.799,7840,7460,215.71,0.055,4200
0.00384,0.799,7840,7460,256.15,0.13,3480
0.00384,0.799,7840,7460,266.05,0.167,3520
0.00384,1.549,7840,3958,260.22,0.32,1580
0.00607,0.792,7840,1604,215.71,0.312,2620
0.00607,0.792,7840,1604,233.95,0.357,2520
0.00607,0.792,7840,2199,213.73,0.21,2940
0.00607,0.792,7840,2199,285,0.318,2210
0.00607,0.792,7840,2208,174.28,0.154,3330
0.00607,0.792,7840,2698,159.97,0.079,3830
0.00607,0.792,7840,2688,222.93,0.159,3000
0.00607,0.792,7840,3207,183.21,0.065,3820
0.00607,0.792,7840,3207,206.64,0.096,3461
0.00607,0.792,7840,3207,229,0.124,3066
0.00607,0.792,7840,3207,249.14,0.157,2800
0.00607,0.792,7840,4003,198.59,0.029,3880
0.00607,0.792,7840,3994,232.02,0.075,3211
0.00607,0.792,7840,4013,268.24,0.144,2620
0.00607,0.792,7840,4013,287.04,0.189,2380
0.00607,0.792,7840,4982,178.18,-0.024,4890
0.00607,0.792,7840,4982,199.49,0.004,4440
0.00607,0.792,7840,5002,229.87,0.044,3700
0.00607,0.792,7840,4963,252.04,0.074,3050
0.00607,0.792,7840,5011,273.15,0.109,2580
0.0078,0.789,7840,995,124.82,0.288,2960
0.0078,0.789,7840,995,156.02,0.343,2820
0.0078,0.789,7840,995,186.39,0.387,2660
0.0078,0.789,7840,983,203.52,0.429,2580
0.0078,0.776,7840,1599,154.86,0.144,3461
0.00807,0.778,7840,1613,218.78,0.249,3000
0.00807,0.778,7840,1608,240.12,0.273,2790
0.00807,0.778,7840,2205,123.88,0.018,4600
0.00807,0.778,7840,2216,191.38,0.087,3540
0.00807,0.778,7840,2200,223.8,0.141,3130
0.00807,0.778,7840,2705,159.04,0.007,4520
0.00807,0.778,7840,2662,194.54,0.059,3861
0.00807,0.778,7840,2678,233.95,0.109,3170
0.00807,0.778,7840,3199,156.02,-0.028,4990
0.00807,0.778,7840,3210,189.34,-0.004,4140
0.00802,1.57,7840,1001,162.98,0.577,1850
0.00802,1.57,7840,1007,189.34,0.601,1750
0.00802,1.57,7840,1001,222.93,0.622,1589
0.00802,1.57,7840,1001,262.04,0.636,1389
0.00802,1.57,7840,1023,284.06,0.633,1269
0.00802,1.57,7840,1595,144.82,0.334,2389
0.00802,1.57,7840,1606,203.52,0.398,2080
0.00802,1.57,7840,1612,265.05,0.434,1600
0.00802,1.57,7840,1606,285,0.46,1470
0.00802,1.57,7840,2206,184.35,0.247,2480
0.00802,1.57,7840,2206,204.63,0.267,2320
0.00802,1.57,7840,2206,232.87,0.306,2100
0.00802,1.57,7840,2706,164.14,0.136,2810
0.00802,1.57,7840,2717,194.54,0.178,2560
0.00802,1.57,7840,2706,224.89,0.215,2260
0.00802,1.57,7840,2728,266.05,0.28,1920
0.00802,1.595,7840,2706,159.04,0.132,2820
0.00802,1.595,7840,2706,200.61,0.185,2539
0.00802,1.595,7840,2706,230.94,0.214,2139
0.00802,1.595,7840,2695,260.22,0.276,1960
0.00802,1.595,7840,2695,289.98,0.32,1650
0.00384,0.799,9800,3982,212.2,0.112,3070
0.00384,0.799,9800,4054,223.2,0.118,2920
0.00384,0.799,9800,3910,234.46,0.141,2710
0.00384,0.799,9800,3958,245.52,0.159,2600
0.00384,0.799,9800,3886,267.89,0.198,2310
0.00384,0.799,9800,4006,277.93,0.208,2189
0.00384,0.799,9800,5013,182.7,0.033,4000
0.00384,0.799,9800,5013,197.9,0.055,3770
0.00384,0.799,9800,5013,219.26,0.081,3400
0.00384,0.799,9800,5013,230.37,0.088,3150
0.00384,0.799,9800,5013,249.71,0.117,2850
0.00384,0.799,9800,5013,258.8,0.129,2710
0.00384,0.799,9800,4990,271.87,0.16,2550
0.00384,0.799,9800,5013,282.92,0.196,2489
0.00384,0.799,9800,7460,214.19,0.013,4450
0.00384,0.799,9800,7484,245.52,0.047,3590
0.00384,0.799,9800,7460,254.69,0.052,3250
0.00384,1.549,9800,3982,203.07,0.218,2020
0.00384,1.549,9800,3958,216.18,0.224,1889
0.00384,1.549,9800,3934,225.38,0.234,1810
0.00384,1.549,9800,3982,260.84,0.269,1530
0.00384,1.549,9800,3958,271.87,0.289,1450
0.00384,1.549,9800,3958,281.97,0.306,1380
0.00384,1.549,9800,4006,279.86,0.292,1389
0.0051,2.6,9800,1986,167.3,0.382,1139
0.0051,2.6,9800,1986,170.53,0.391,1139
0.0051,2.6,9800,2503,222.33,0.392,1174
0.0051,2.6,9800,2992,240.44,0.337,1163
0.0051,2.6,9800,3441,256.75,0.301,1163
0.0051,2.6,9800,3998,271.87,0.289,1174
0.0051,2.6,9800,4746,294.98,0.317,1186
0.0051,2.6,9800,5304,205.08,0.131,1779
0.0051,2.6,9800,5304,201.95,0.124,1791
0.00607,0.792,9800,1604,209.09,0.237,2489
0.00607,0.792,9800,1613,234.46,0.27,2310
0.00607,0.792,9800,1584,254.69,0.304,2110
0.00607,0.792,9800,1594,279.86,0.344,1900
0.00607,0.792,9800,1594,300.85,0.385,1710
0.00607,0.792,9800,2208,237.46,0.171,2539
0.00607,0.792,9800,2208,269.88,0.22,2170
0.00607,0.792,9800,2199,299.79,0.285,1820
0.00607,0.792,9800,2707,143.07,0.011,4130
0.00607,0.792,9800,2698,198.8,0.068,3280
0.00607,0.792,9800,2707,229.29,0.103,2820
0.00607,0.792,9800,2707,259.82,0.143,2360
0.00607,0.792,9800,2659,289.86,0.213,2010
0.00607,0.792,9800,2707,301.89,0.226,1800
0.00607,0.792,9800,3197,172.38,0.007,4090
0.00607,0.792,9800,3207,199.93,0.035,3590
0.00607,0.792,9800,3197,229.29,0.067,3040
0.00607,0.792,9800,3207,249.71,0.096,2710
0.00607,0.792,9800,3207,269.88,0.13,2380
0.00607,0.792,9800,3197,299.79,0.193,1920
0.00607,0.792,9800,4003,214.19,0.011,3761
0.00607,0.792,9800,4023,247.62,0.056,3030
0.00607,0.792,9800,4023,281.01,0.099,2239
0.00607,0.792,9800,4003,297.85,0.139,1930
0.00607,0.792,9800,5002,237.46,0.02,3811
0.00607,0.792,9800,5002,259.82,0.041,3090
0.00607,0.792,9800,5002,279.86,0.066,2460
0.0074,3.8,9800,1260,246.57,0.603,697
0.0074,3.8,9800,2003,270.88,0.391,709
